group	hemisphere	source_id	volume_id	name	vertices_32k	geometry_flagged_vertices_32k	geometry_flagged_fraction_32k	components_32k	adult_source_components	volume_voxels	raw_transferred_native_vertices	final_native_vertices	raw_native_support_retained_vertices	raw_native_support_retained_fraction
Group01_34p0-42p5	L	1	1	FP.d	90	0	0.0	1	1	1243	443	443	443	1.0
Group01_34p0-42p5	L	2	2	FP.m	65	0	0.0	1	1	1057	315	316	315	1.0
Group01_34p0-42p5	L	3	3	FP.v	76	0	0.0	1	1	766	365	366	365	1.0
Group01_34p0-42p5	L	4	4	SFG.rm	92	0	0.0	1	1	829	359	360	359	1.0
Group01_34p0-42p5	L	5	5	SFG.cm	83	0	0.0	1	1	697	284	284	284	1.0
Group01_34p0-42p5	L	6	6	SFG.r	82	0	0.0	1	1	535	385	386	385	1.0
Group01_34p0-42p5	L	7	7	SFG.ri	159	0	0.0	1	1	1885	751	752	748	0.996005326231691
Group01_34p0-42p5	L	8	8	SFG.ci	131	0	0.0	1	1	1302	574	573	572	0.9965156794425087
Group01_34p0-42p5	L	9	9	SFG.c	79	0	0.0	1	1	498	368	367	366	0.9945652173913043
Group01_34p0-42p5	L	10	10	IFG.rd	177	0	0.0	1	1	1074	830	832	830	1.0
Group01_34p0-42p5	L	11	11	IFG.cd	132	0	0.0	1	1	844	675	674	673	0.997037037037037
Group01_34p0-42p5	L	12	12	IFG.cv	161	0	0.0	1	1	930	621	622	620	0.998389694041868
Group01_34p0-42p5	L	13	13	IFG.iv	208	0	0.0	1	1	1048	796	793	792	0.9949748743718593
Group01_34p0-42p5	L	14	14	IFG.rv	204	0	0.0	1	1	1408	855	858	853	0.9976608187134502
Group01_34p0-42p5	L	15	15	OrG.rm	180	0	0.0	1	1	1821	746	745	745	0.9986595174262735
Group01_34p0-42p5	L	16	16	OrG.cm	175	0	0.0	1	1	1724	737	760	737	1.0
Group01_34p0-42p5	L	17	17	OrG.ri	184	0	0.0	1	1	2323	818	815	815	0.9963325183374083
Group01_34p0-42p5	L	18	18	OrG.ci	245	0	0.0	1	1	1959	899	950	898	0.9988876529477196
Group01_34p0-42p5	L	19	19	OrG.rl	139	0	0.0	1	1	2013	672	671	671	0.9985119047619048
Group01_34p0-42p5	L	20	20	OrG.cl	191	0	0.0	1	1	1690	808	811	808	1.0
Group01_34p0-42p5	L	21	21	M1.v	41	0	0.0	1	1	533	139	138	138	0.9928057553956835
Group01_34p0-42p5	L	22	22	M1.i	227	0	0.0	1	1	2406	810	812	808	0.9975308641975309
Group01_34p0-42p5	L	23	23	M1.d	364	0	0.0	1	1	3611	1188	1187	1187	0.9991582491582491
Group01_34p0-42p5	L	24	24	M1.m	225	0	0.0	1	1	1055	611	611	607	0.9934533551554828
Group01_34p0-42p5	L	25	25	PM.rd	201	0	0.0	1	1	2442	802	804	800	0.9975062344139651
Group01_34p0-42p5	L	26	26	PM.cd	227	0	0.0	1	1	2450	826	825	823	0.9963680387409201
Group01_34p0-42p5	L	27	27	PM.i	224	0	0.0	1	1	1719	817	819	815	0.9975520195838433
Group01_34p0-42p5	L	28	28	PM.cv	137	0	0.0	1	1	2135	501	501	500	0.998003992015968
Group01_34p0-42p5	L	29	29	PM.rv	143	0	0.0	1	1	1563	513	512	511	0.9961013645224172
Group01_34p0-42p5	L	30	30	PM.rm	115	0	0.0	1	1	1177	398	397	397	0.9974874371859297
Group01_34p0-42p5	L	31	31	PM.cm	227	0	0.0	1	1	1855	711	713	709	0.9971870604781997
Group01_34p0-42p5	L	32	32	PoCG.dm	409	0	0.0	1	1	2438	1308	1306	1303	0.996177370030581
Group01_34p0-42p5	L	33	33	PoCG.d	387	0	0.0	1	1	1763	1201	1199	1199	0.9983347210657785
Group01_34p0-42p5	L	34	34	PoCG.i	471	0	0.0	1	1	2519	1501	1500	1500	0.9993337774816788
Group01_34p0-42p5	L	35	35	PoCG.v	361	0	0.0	1	1	2468	1170	1171	1170	1.0
Group01_34p0-42p5	L	36	36	FPOr	203	0	0.0	1	1	1982	796	794	793	0.9962311557788944
Group01_34p0-42p5	L	37	37	FPOri	347	0	0.0	1	1	1974	1184	1186	1182	0.9983108108108109
Group01_34p0-42p5	L	38	38	FPOci	486	0	0.0	1	1	1676	1352	1355	1351	0.9992603550295858
Group01_34p0-42p5	L	39	39	FPOc	271	0	0.0	1	1	617	762	758	758	0.994750656167979
Group01_34p0-42p5	L	40	40	SPL.rv	459	0	0.0	1	1	1604	1330	1325	1319	0.9917293233082707
Group01_34p0-42p5	L	41	41	SPL.iv	426	0	0.0	1	1	1348	1204	1200	1196	0.9933554817275747
Group01_34p0-42p5	L	42	42	SPL.cv	259	0	0.0	1	1	1435	788	794	786	0.9974619289340102
Group01_34p0-42p5	L	43	43	SPL.rd	322	0	0.0	1	1	1379	887	887	884	0.9966178128523112
Group01_34p0-42p5	L	44	44	SPL.cd	322	0	0.0	1	1	1714	1055	1061	1052	0.9971563981042654
Group01_34p0-42p5	L	45	45	SPL.m	137	0	0.0	1	1	323	430	431	427	0.9930232558139535
