group	hemisphere	source_vertices	dense_display_vertices	dense_faces	ROIs_retained	v4_zero_vertices	display_zero_vertices_32k	display_background_components_32k	cosmetically_filled_vertices	other_changed_vertices	filled_over_prior_geometry_caution	initial_enclosed_holes_filled	initial_hole_vertices_filled	intended_use
Group01_34p0-42p5	L	32492	519842	1039680	124	4485	4408	1	89	577	12	1	1	DISPLAY_ONLY_NOT_FOR_ANALYSIS
Group01_34p0-42p5	R	32492	519842	1039680	124	4547	4468	1	89	554	19	2	2	DISPLAY_ONLY_NOT_FOR_ANALYSIS
Group02_42p5-51p0	L	32492	519842	1039680	124	4500	4417	1	94	535	14	1	9	DISPLAY_ONLY_NOT_FOR_ANALYSIS
Group02_42p5-51p0	R	32492	519842	1039680	124	4513	4442	1	82	509	3	0	0	DISPLAY_ONLY_NOT_FOR_ANALYSIS
Group03_51p0-59p5	L	32492	519842	1039680	124	4498	4428	1	75	519	8	2	3	DISPLAY_ONLY_NOT_FOR_ANALYSIS
Group03_51p0-59p5	R	32492	519842	1039680	124	4503	4417	1	95	509	10	1	3	DISPLAY_ONLY_NOT_FOR_ANALYSIS
Group04_59p5-68p0	L	32492	519842	1039680	124	4446	4371	1	82	575	9	3	17	DISPLAY_ONLY_NOT_FOR_ANALYSIS
Group04_59p5-68p0	R	32492	519842	1039680	124	4486	4398	1	102	525	20	3	8	DISPLAY_ONLY_NOT_FOR_ANALYSIS
Group05_68p0-76p5	L	32492	519842	1039680	124	4501	4440	1	64	551	6	1	6	DISPLAY_ONLY_NOT_FOR_ANALYSIS
Group05_68p0-76p5	R	32492	519842	1039680	124	4535	4482	1	66	515	16	0	0	DISPLAY_ONLY_NOT_FOR_ANALYSIS
Group06_76p5-inf	L	32492	519842	1039680	124	4466	4393	1	80	543	9	1	1	DISPLAY_ONLY_NOT_FOR_ANALYSIS
Group06_76p5-inf	R	32492	519842	1039680	124	4496	4421	1	86	456	10	3	4	DISPLAY_ONLY_NOT_FOR_ANALYSIS
