volume_id	hemisphere	source_id	name	red	green	blue	alpha
0	none	0	background_or_unassigned	0.0	0.0	0.0	0.0
1	L	1	FP.d	0.0	0.0	1.0	1.0
2	L	2	FP.m	1.0	0.0	0.0	1.0
3	L	3	FP.v	0.0	1.0	0.0	1.0
4	L	4	SFG.rm	0.619608	0.27451	0.207843	1.0
5	L	5	SFG.cm	0.0	0.552941	1.0	1.0
6	L	6	SFG.r	1.0	0.482353	0.862745	1.0
7	L	7	SFG.ri	0.0	0.964706	1.0	1.0
8	L	8	SFG.ci	0.0	0.415686	0.0352941	1.0
9	L	9	SFG.c	1.0	0.862745	0.482353	1.0
10	L	10	IFG.rd	0.243137	0.0	0.415686	1.0
11	L	11	IFG.cd	0.309804	0.482353	0.552941	1.0
12	L	12	IFG.cv	0.898039	0.0	1.0	1.0
13	L	13	IFG.iv	1.0	0.470588	1.0	1.0
14	L	14	IFG.rv	0.552941	1.0	0.619608	1.0
15	L	15	OrG.rm	0.482353	0.345098	0.964706	1.0
16	L	16	OrG.cm	0.929412	0.517647	0.0	1.0
17	L	17	OrG.ri	0.482353	0.415686	0.0	1.0
18	L	18	OrG.ci	0.552941	0.0	0.345098	1.0
19	L	19	OrG.rl	1.0	0.0	0.415686	1.0
20	L	20	OrG.cl	0.862745	1.0	0.0	1.0
21	L	21	M1.v	0.654902	0.0352941	0.654902	1.0
22	L	22	M1.i	1.0	0.619608	0.690196	1.0
23	L	23	M1.d	0.380392	0.72549	0.0	1.0
24	L	24	M1.m	0.0	0.172549	0.380392	1.0
25	L	25	PM.rd	0.619608	0.72549	0.552941	1.0
26	L	26	PM.cd	1.0	0.827451	0.0	1.0
27	L	27	PM.i	0.380392	0.243137	0.309804	1.0
28	L	28	PM.cv	0.243137	0.756863	1.0	1.0
29	L	29	PM.rv	0.243137	0.309804	0.172549	1.0
30	L	30	PM.rm	0.552941	0.415686	0.690196	1.0
31	L	31	PM.cm	0.0	0.72549	0.552941	1.0
32	L	32	PoCG.dm	0.0	0.0	0.619608	1.0
33	L	33	PoCG.d	1.0	0.415686	0.309804	1.0
34	L	34	PoCG.i	0.929412	0.72549	1.0	1.0
35	L	35	PoCG.v	0.27451	0.0	0.0	1.0
36	L	36	FPOr	1.0	0.0	0.654902	1.0
37	L	37	FPOri	0.792157	0.584314	0.415686	1.0
38	L	38	FPOci	0.862745	1.0	0.482353	1.0
39	L	39	FPOc	0.172549	0.27451	0.690196	1.0
40	L	40	SPL.rv	0.792157	0.517647	1.0	1.0
41	L	41	SPL.iv	0.584314	0.827451	0.862745	1.0
42	L	42	SPL.cv	0.619608	0.654902	0.0	1.0
43	L	43	SPL.rd	0.654902	0.0	0.0	1.0
44	L	44	SPL.cd	0.0	1.0	0.447059	1.0
45	L	45	SPL.m	0.690196	0.584314	0.654902	1.0
46	L	46	IPL.sr	0.690196	1.0	0.827451	1.0
47	L	47	IPL.sri	0.0	0.690196	0.309804	1.0
48	L	48	IPL.sci	0.345098	0.207843	0.0	1.0
49	L	49	IPL.sc	0.0	0.415686	0.654902	1.0
50	L	50	IPL.gr	0.898039	0.309804	0.552941	1.0
51	L	51	IPL.gri	1.0	1.0	0.792157	1.0
52	L	52	IPL.gci	0.517647	0.0	0.898039	1.0
53	L	53	IPL.gc	0.172549	0.0	0.172549	1.0
54	L	54	PrCu.vr	0.584314	0.654902	0.898039	1.0
55	L	55	PrCu.dr	0.552941	0.756863	0.380392	1.0
56	L	56	PrCu.dc	0.137255	0.482353	0.380392	1.0
57	L	57	PrCu.di	0.690196	0.380392	0.517647	1.0
58	L	58	PrCu.vi	0.690196	0.0	0.243137	1.0
59	L	59	PrCu.vc	1.0	0.243137	0.898039	1.0
60	L	60	PrL.d	0.0	0.243137	0.27451	1.0
61	L	61	PrL.i	0.654902	0.345098	0.0	1.0
62	L	62	PrL.STS	0.0	0.243137	1.0	1.0
63	L	63	PrL.v	0.415686	0.517647	0.243137	1.0
64	L	64	SFL.r	0.792157	0.584314	0.172549	1.0
65	L	65	SFL.i	0.415686	0.172549	0.415686	1.0
66	L	66	STG.gc	0.792157	0.345098	1.0	1.0
67	L	67	STG.gr	1.0	0.792157	0.72549	1.0
68	L	68	STG.gri	1.0	0.619608	0.380392	1.0
69	L	69	STG.gci	0.0	0.654902	0.690196	1.0
70	L	70	STSU.rEx	0.517647	0.415686	0.345098	1.0
71	L	71	STSU.cEx	0.0	1.0	0.792157	1.0
72	L	72	STSU.r	1.0	0.0	0.243137	1.0
73	L	73	STSU.ri	0.584314	1.0	0.243137	1.0
74	L	74	STSU.ci	0.690196	0.27451	0.619608	1.0
75	L	75	STSU.c	0.447059	0.0352941	0.690196	1.0
76	L	76	STSL.r	0.517647	0.27451	0.72549	1.0
77	L	77	STSL.cIn	0.584314	0.584314	1.0	1.0
78	L	78	STSL.cEx	1.0	0.415686	0.482353	1.0
79	L	79	ITG.gr	0.0	0.415686	1.0	1.0
80	L	80	ITG.gdc	0.345098	0.552941	0.0	1.0
81	L	81	ITG.gvc	0.207843	0.137255	0.0705882	1.0
82	L	82	PHG.r	0.690196	0.654902	0.309804	1.0
83	L	83	PHG.mi	0.0	0.0	0.27451	1.0
84	L	84	PHG.li	0.898039	0.309804	0.0	1.0
85	L	85	PHG.cm	0.929412	0.929412	0.27451	1.0
86	L	86	PHG.cl	0.0	0.243137	0.0	1.0
87	L	87	TP.vr	0.345098	0.345098	0.517647	1.0
88	L	88	TP.mr	0.101961	0.827451	0.0705882	1.0
89	L	89	TP.lr	0.0	0.137255	0.0352941	1.0
90	L	90	TP.dr	0.482353	0.172549	0.243137	1.0
91	L	91	TP.cEx	0.792157	0.964706	0.654902	1.0
92	L	92	TP.cIn	0.654902	0.827451	0.0352941	1.0
93	L	93	V1.cm	0.964706	0.552941	0.482353	1.0
94	L	94	V1.dl	0.101961	0.552941	0.309804	1.0
95	L	95	V1.vl	0.447059	0.0	0.0	1.0
96	L	96	V1.mvi	0.827451	0.898039	0.827451	1.0
97	L	97	V1.mdi	0.0	0.0705882	0.172549	1.0
98	L	98	V1.rm	0.756863	0.0	0.517647	1.0
99	L	99	V2.l	0.415686	0.862745	0.792157	1.0
100	L	100	V2.d	0.27451	0.309804	0.0	1.0
101	L	101	V2.v	0.447059	0.552941	0.482353	1.0
102	L	102	V2.dm	0.72549	0.447059	0.415686	1.0
103	L	103	V2.vm	0.0	0.101961	0.552941	1.0
104	L	104	VMO.l	0.584314	0.380392	0.172549	1.0
105	L	105	VMO.i	0.0	1.0	0.619608	1.0
106	L	106	VMO.m	0.862745	0.517647	0.756863	1.0
107	L	107	INS.vr	0.482353	0.929412	0.380392	1.0
108	L	108	INS.dr	1.0	0.690196	0.0352941	1.0
109	L	109	INS.ri	0.309804	0.345098	0.345098	1.0
110	L	110	INS.v	0.482353	0.792157	0.552941	1.0
111	L	111	INS.ci	0.552941	0.482353	0.27451	1.0
112	L	112	INS.c	0.0	0.552941	0.72549	1.0
113	L	113	CG.vr	0.72549	0.756863	0.862745	1.0
114	L	114	CG.ir	0.756863	0.309804	0.380392	1.0
115	L	115	CG.dr	0.27451	0.207843	0.482353	1.0
116	L	116	CG.idr	0.447059	0.0	0.447059	1.0
117	L	117	CG.idc	0.345098	0.0	0.207843	1.0
118	L	118	CG.ivr	0.309804	0.380392	0.690196	1.0
119	L	119	CG.ivc	0.827451	0.756863	0.552941	1.0
120	L	120	CG.dc	0.862745	0.756863	0.207843	1.0
121	L	121	CG.vc	0.72549	0.654902	0.584314	1.0
122	L	122	CG.RSr	0.862745	0.380392	0.898039	1.0
123	L	123	CG.Rsi	0.0352941	0.243137	0.827451	1.0
124	L	124	CG.RSc	0.447059	0.415686	0.898039	1.0
125	R	1	FP.d	0.0	0.0	1.0	1.0
126	R	2	FP.m	1.0	0.0	0.0	1.0
127	R	3	FP.v	0.0	1.0	0.0	1.0
128	R	4	SFG.rm	0.619608	0.27451	0.207843	1.0
129	R	5	SFG.cm	0.0	0.552941	1.0	1.0
130	R	6	SFG.r	1.0	0.482353	0.862745	1.0
131	R	7	SFG.ri	0.0	0.964706	1.0	1.0
132	R	8	SFG.ci	0.0	0.415686	0.0352941	1.0
133	R	9	SFG.c	1.0	0.862745	0.482353	1.0
134	R	10	IFG.rd	0.243137	0.0	0.415686	1.0
135	R	11	IFG.cd	0.309804	0.482353	0.552941	1.0
136	R	12	IFG.cv	0.898039	0.0	1.0	1.0
137	R	13	IFG.iv	1.0	0.470588	1.0	1.0
138	R	14	IFG.rv	0.552941	1.0	0.619608	1.0
139	R	15	OrG.rm	0.482353	0.345098	0.964706	1.0
140	R	16	OrG.cm	0.929412	0.517647	0.0	1.0
141	R	17	OrG.ri	0.482353	0.415686	0.0	1.0
142	R	18	OrG.ci	0.552941	0.0	0.345098	1.0
143	R	19	OrG.rl	1.0	0.0	0.415686	1.0
